filename;compressed_size;uncompressed_size
10352.json;218897;5110335
10353.json;209379;5099872
10354.json;216259;5094874
10355.json;219453;5119747
10356.json;218027;5102711
10357.json;215286;5108000
10358.json;213465;5069412
10359.json;218404;5088172
1035.json;444430;6569942
10360.json;218338;5092795
10361.json;218142;5067067
10362.json;214993;5046699
10363.json;217108;5066052
10364.json;217532;5073653
10365.json;222579;5076901
10366.json;222849;5066464
10367.json;216994;5042820
10368.json;211060;5023161
10369.json;218582;5057335
1036.json;439129;6552324
10370.json;225272;5069856
10371.json;200458;5009222
10372.json;204517;5020265
10373.json;208102;5016186
10374.json;322763;5408445
10375.json;333181;5427133
10376.json;287119;5382378
10377.json;291366;5398765
10378.json;299926;5404498
10379.json;259933;5320327
1037.json;444363;6572560
10380.json;276513;5358747
10381.json;347788;5448519
10382.json;371889;5536443
10383.json;428464;5581785
10384.json;453538;5623036
10385.json;501487;5959657
10386.json;558677;6371734
10387.json;577275;6503392
10388.json;762549;7415493
10389.json;821361;8651075
1038.json;442564;6555396
10390.json;558960;7245168
10391.json;218842;5063598
10392.json;215680;5098070
10393.json;222259;5087885
10394.json;230807;5106802
10395.json;234403;5126046
10396.json;234637;5083605
10397.json;234144;5104997
10398.json;241844;5112119
10399.json;238788;5117305
1039.json;442069;6559300
103.json;200616;3904830
10400.json;246595;5116989
10401.json;250999;5126107
10402.json;253093;5135935
10403.json;253823;5169833
10404.json;255922;5184945
10405.json;256925;5173970
10406.json;263291;5206482
10407.json;267466;5214264
10408.json;264167;5184449
10409.json;272129;5202020
1040.json;432198;6528931
10410.json;277120;5214096
10411.json;281212;5226060
10412.json;278804;5253103
10413.json;284122;5232861
10414.json;300940;5281037
10415.json;295092;5313824
10416.json;294937;5310492
10417.json;298024;5323327
10418.json;304522;5364843
10419.json;301795;5357830
1041.json;445249;6586320
10420.json;318928;5399978
10421.json;322950;5398856
10422.json;319439;5403647
10423.json;321762;5398447
10424.json;322631;5424762
10425.json;335123;5432345
10426.json;340004;5484070
10427.json;348684;5499051
10428.json;341385;5478263
10429.json;340494;5441867
1042.json;444370;6582565
10430.json;348616;5479994
10431.json;347028;5484145
10432.json;349925;5518979
10433.json;344683;5517042
10434.json;364384;5561041
10435.json;397032;5540818
10436.json;448978;5578231
10437.json;406430;5572908
10438.json;409062;5533090
10439.json;413070;5663551
1043.json;436297;6552358
10440.json;366671;5561929
10441.json;369336;5498015
10442.json;468686;5743755
10443.json;369748;5439617
10444.json;392679;5571868
10445.json;401094;5576703
10446.json;354859;5444333
